Country,City,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,day_of_week,hour
0,7,6.9,43.0,1.1,4.0,42.0,20.833333333333336,20.833333333333336,4,10
0,8,141.1,80.0,21.1,37.0,51.0,30.5,25.5,3,8
0,7,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1,0
0,7,193.9,96.0,22.0,59.0,76.0,28.333333333333336,25.5,0,14
0,1,0.0,9.0,0.0,0.0,9.0,13.166666666666666,13.0,6,19
0,10,18.0,22.0,1.1,3.0,25.0,20.666666666666668,21.166666666666668,6,14
0,11,0.0,0.0,0.0,0.0,0.0,19.166666666666668,18.33333333333333,0,2
0,6,0.0,0.0,0.0,0.0,0.0,16.5,16.166666666666668,1,23
0,5,280.6,71.0,33.5,62.0,50.0,27.0,23.666666666666668,2,6
0,7,6.4,31.0,0.5,3.0,31.0,18.83333333333333,19.0,5,12
0,0,0.0,4.0,0.0,0.0,4.0,14.166666666666668,14.166666666666668,5,5
0,3,31.3,32.0,2.9,7.0,23.0,20.833333333333336,19.33333333333333,5,16
0,10,78.3,60.0,11.2,24.0,47.0,27.0,24.833333333333336,1,9
0,10,15.0,17.0,1.0,3.0,17.0,19.5,19.5,6,11
0,6,58.6,57.0,8.0,19.0,45.0,26.5,24.5,2,9
0,9,11.2,36.0,1.6,4.0,35.0,21.33333333333333,21.166666666666668,2,10
0,6,167.4,81.0,17.6,43.0,57.0,30.5,26.5,1,8
0,11,46.0,45.0,5.2,16.0,35.0,28.666666666666668,26.666666666666664,5,11
0,6,55.8,57.0,6.2,17.0,45.0,26.5,24.5,2,9
0,8,20.8,41.0,1.6,8.0,33.0,24.0,22.666666666666664,5,14
0,7,2.5,31.0,0.2,2.0,26.0,19.33333333333333,18.5,6,17
0,4,19.8,18.0,4.4,6.0,15.0,12.333333333333334,12.0,5,15
0,6,388.6,107.0,38.9,80.0,84.0,35.5,31.5,2,14
0,2,239.3,98.0,26.5,47.0,70.0,30.0,25.833333333333336,2,15
0,5,0.0,6.0,0.0,0.0,8.0,16.5,16.833333333333332,6,8
0,2,0.0,18.0,0.0,0.0,11.0,18.166666666666668,17.166666666666664,5,21
0,3,0.0,1.0,0.0,0.0,0.0,16.0,15.5,1,2
0,6,312.8,118.0,36.8,78.0,60.0,37.16666666666667,27.333333333333336,0,7
0,2,0.0,3.0,0.0,0.0,0.0,16.5,15.666666666666666,5,23
0,11,163.7,91.0,20.5,49.0,68.0,37.83333333333333,33.5,3,16
0,1,0.0,8.0,0.0,0.0,9.0,14.0,14.166666666666668,1,20
0,8,23.5,48.0,2.8,9.0,38.0,25.5,23.83333333333333,4,18
0,7,1.6,22.0,0.1,1.0,21.0,18.0,18.0,2,20
0,7,0.0,0.0,0.0,0.0,0.0,13.333333333333332,13.0,0,23
0,8,4.4,37.0,0.5,2.0,38.0,23.166666666666668,23.5,2,10
0,4,0.0,0.0,0.0,0.0,0.0,9.833333333333332,9.666666666666666,3,1
0,2,0.0,0.0,0.0,0.0,0.0,15.333333333333334,14.833333333333334,3,23
0,5,25.4,40.0,3.7,7.0,64.0,22.166666666666668,26.0,2,8
0,6,0.0,4.0,0.0,0.0,0.0,18.33333333333333,16.666666666666668,6,0
0,1,65.4,57.0,7.7,18.0,51.0,20.166666666666664,19.33333333333333,1,15
0,3,0.0,3.0,0.0,0.0,1.0,16.5,16.166666666666668,6,22
0,3,3.4,4.0,0.2,1.0,1.0,16.5,16.0,2,22
0,9,5.7,32.0,0.5,2.0,28.0,20.833333333333336,20.166666666666664,1,18
0,4,322.8,82.0,44.5,74.0,45.0,19.166666666666668,15.166666666666666,1,15
0,7,5.3,41.0,0.5,3.0,42.0,20.833333333333336,21.0,1,11
0,10,8.9,10.0,0.3,3.0,5.0,16.666666666666668,16.0,4,5
0,2,10.7,21.0,0.4,2.0,19.0,18.666666666666668,18.33333333333333,1,19
0,10,352.1,93.0,48.0,72.0,56.0,32.83333333333333,26.5,2,8
0,2,0.0,13.0,0.0,0.0,10.0,17.166666666666664,16.666666666666668,3,21
0,2,97.0,72.0,13.2,25.0,70.0,25.666666666666668,25.5,1,15
0,10,169.8,76.0,23.6,44.0,66.0,30.33333333333333,28.333333333333336,0,15
0,5,58.7,46.0,8.0,18.0,43.0,23.5,23.0,1,12
0,4,21.1,27.0,3.9,8.0,20.0,13.333333333333332,12.666666666666666,4,18
0,7,0.0,0.0,0.0,0.0,0.0,13.666666666666668,12.333333333333334,2,1
0,1,2.9,33.0,0.1,1.0,27.0,17.333333333333336,16.666666666666668,1,8
0,5,33.3,53.0,3.2,9.0,49.0,24.666666666666668,24.0,4,17
